ID,Orijinal,Öneri,Tür,Güven,Mükerrer
rec8vV7z8YWMCsSG7,"ZWILLING J A HENCKELS MUTFAK VE GÜZELLİKÜRÜNLERİ","ZWILLING JA HENCKELS MUTFAK VE GÜZELLİKÜRÜNLERİ",tek-harf-prefix,orta,"-"
rec9rMfegiXawrfZm,"KORUMA KLOR ALKALİ SANAYİ VE T İCARET ANONİM ŞİRKET (KORUMA TEMİZLİK)","KORUMA KLOR ALKALİ SANAYİ VE TİCARET ANONİM ŞİRKET (KORUMA TEMİZLİK)",tek-harf-prefix,orta,"Telefon - yüksek şüphe"
recBUjgy8h03AHP6u,"A PLUS YATIRIM","APLUS YATIRIM",tek-harf-prefix,orta,"-"
recCFmjkICbiz7MT1,"LOREAL TÜRKİYE KOZMETİK SAN.V E TİC.A.Ş.","LOREAL TÜRKİYE KOZMETİK SAN.V ETİC.A.Ş.",tek-harf-prefix,orta,"-"
recCzmSjjz2XY15PZ,"T DİNAMİK ENERJİ A.Ş.","TDİNAMİK ENERJİ A.Ş.",tek-harf-prefix,orta,"-"
recDNiXwhcQkUJXxH,"GEZER ENDÜSTRİ İNŞ.SANAYİ VE T İC.A.Ş","GEZER ENDÜSTRİ İNŞ.SANAYİ VE TİC.A.Ş",tek-harf-prefix,orta,"-"
recE45XvHjnTI2KOR,"HYUNDAI GLOVIS LOJİSTİK DIŞ TİC. SAN.","",kesik-sonek,orta,"-"
recEgglG7s45vSjWw,"MRM ÇATI VE OLUK SİSTEMLERİ SA NAYİ VE TİCARET LİMİ","MRM ÇATI VE OLUK SİSTEMLERİ SANAYİ VE TİCARET LİMİ",bölünmüş-kelime,yüksek,"-"
recHuIKYDlCJKCe1l,"LOGİTECH TURKEY BİLGİSAYAR PAZ ARLAMA HİZMETLERİ Lİ","LOGİTECH TURKEY BİLGİSAYAR PAZARLAMA HİZMETLERİ Lİ",bölünmüş-kelime,yüksek,"-"
recI6sJkdQ3OlI6iv,"SG PETROL ÜRÜNLERİ OTELCİLİK T C.LTD.ŞTİ.","SG PETROL ÜRÜNLERİ OTELCİLİK TC.LTD.ŞTİ.",tek-harf-prefix,orta,"-"
recIXRtlth775wRoC,"Arrow Elektronik Ticaret A S","Arrow Elektronik Ticaret AS",tek-harf-prefix,orta,"-"
recIaLPpL1aPWtQ67,"D MARINA İŞLETMECİLİĞİ","DMARINA İŞLETMECİLİĞİ",tek-harf-prefix,orta,"-"
recJO6uZMYJGIkuwg,"SOLUTO TESİS YÖNETİM HİZMETLER İ ANONİM ŞİRKETİ","SOLUTO TESİS YÖNETİM HİZMETLER İANONİM ŞİRKETİ",tek-harf-prefix,orta,"-"
recJOgWEaT6DD9VpM,"TOSAF PLASTİK SANAYİ VE TİCARE T LİMİTED ŞİRKETİ","TOSAF PLASTİK SANAYİ VE TİCARE TLİMİTED ŞİRKETİ",tek-harf-prefix,orta,"-"
recJQ5rXc53uYvSDx,"C TECH BİLİŞİM","CTECH BİLİŞİM",tek-harf-prefix,orta,"-"
recK2FtbQHrfCi763,"PAN GLOBAL HOLDİNG ANONİM ŞİRK Tİ","",kesik-sonek,orta,"-"
recKKSNUzHWEhXC1P,"KOCAELİ LASTİK SANAYİ ANONİM Ş İRKETİ","KOCAELİ LASTİK SANAYİ ANONİM ŞİRKETİ",tek-harf-prefix,orta,"-"
recKtNJMxxUuF13Fa,"FERMA MAKİNA METAL EELEKTRİK E LEKTRONİKSAN.VE Tİ","FERMA MAKİNA METAL EELEKTRİK ELEKTRONİKSAN.VE Tİ",tek-harf-prefix,orta,"-"
recL3ajVD4tuz8wg3,"Galata Tasimacilik Ve Ticaret A S","Galata Tasimacilik Ve Ticaret AS",tek-harf-prefix,orta,"Telefon - yüksek şüphe"
recLnRCHsSVSZH73m,"C STEİNWEG","CSTEİNWEG",tek-harf-prefix,orta,"-"
recPbLew7vL78Oj9K,"NATURA YAPI ALÜMİNYUM VE CAM S AN.TİCLTD.ŞTİ.","NATURA YAPI ALÜMİNYUM VE CAM SAN.TİCLTD.ŞTİ.",tek-harf-prefix,orta,"-"
recQ43jdYPVnkhwIo,"CARGILL TARIM VE GIDA SAN.","",kesik-sonek,orta,"-"
recQiTg9GRPvNNEhl,"G LOGISTICS","GLOGISTICS",tek-harf-prefix,orta,"-"
recQmzdVVuIO9TnOs,"INSB KLASLAMA HİZMETLERİ LTD Ş İ","INSB KLASLAMA HİZMETLERİ LTD Şİ",tek-harf-prefix,orta,"-"
recVF7Ir2jIlQ59rg,"PARKTURK OTOPARK YATIRIMLARI A NONİM ŞİRKETİ","PARKTURK OTOPARK YATIRIMLARI ANONİM ŞİRKETİ",tek-harf-prefix,yüksek,"-"
recVWexlNXgA19iCm,"E DATA TEKNOLOJİ","EDATA TEKNOLOJİ",tek-harf-prefix,orta,"-"
recWOIhlhqOpZLdvd,"G TEKNOLOJİLERİ","GTEKNOLOJİLERİ",tek-harf-prefix,orta,"-"
recXZmlWOB9Y4RTWD,"DATA MARKET & D 7/24","DATA MARKET & D7/24",tek-harf-prefix,orta,"-"
recgA3EVPOYE1lA6J,"TT TULPAR TEKNOLOJİ ARGE KALIP SANAYİ VE TİCARET ANONİM ŞİRKETİ Tİ","",kesik-sonek,orta,"-"
recgSjaA1iqMNYgC4,"A RAYMOND","ARAYMOND",tek-harf-prefix,orta,"-"
recgU7iPZSVQUhfJu,"FG WİLSON ENERJİ ÇÖZÜMLERİ SAN AYİ VE TİCARET ANO","FG WİLSON ENERJİ ÇÖZÜMLERİ SANAYİ VE TİCARET ANO",bölünmüş-kelime,yüksek,"-"
rechkrf8ssCVI3Vrd,"SDT UZAY VE SAVUNMA SAN","",kesik-sonek,orta,"-"
reciwXKdkfU977FU5,"3 D BİLİŞİM","3 DBİLİŞİM",tek-harf-prefix,orta,"-"
recj5YXSJL2knUkDS,"KAFT TASARIM TEKSTİL SAN. VE T C. A.Ş","KAFT TASARIM TEKSTİL SAN. VE TC. A.Ş",tek-harf-prefix,orta,"-"
recjlJKDFQXtV1xuD,"A RAYMOND BAĞLANTI","ARAYMOND BAĞLANTI",tek-harf-prefix,orta,"-"
recl5fUeMXYumUI9i,"TANSEL ENERJİ SİSTEMLERİ SANAY İ VE TİCARET LİMİT","TANSEL ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİT",bölünmüş-kelime,yüksek,"-"
recllAT1sGx22HTVh,"CORNING OPTİK İLETİŞİM SAN.","",kesik-sonek,orta,"-"
recmRG2sS5CfJ4x6W,"REVO ENDÜSTRİYEL REKLAMCILIK T İCARET LİMİTED ŞİRKE","REVO ENDÜSTRİYEL REKLAMCILIK TİCARET LİMİTED ŞİRKE",tek-harf-prefix,orta,"-"
recnbspxVyJWrlTxH,"İNTERAKTİF ÇEVRE DANIŞMANLIK V E TİC. A.Ş.","İNTERAKTİF ÇEVRE DANIŞMANLIK VE TİC. A.Ş.",tek-harf-prefix,orta,"-"
recnrHds1oIB1TJEJ,"D ELEKTRONİK ŞANS OYUNLARI VEYAYINCILIK ANONİM ŞİRKETİ","DELEKTRONİK ŞANS OYUNLARI VEYAYINCILIK ANONİM ŞİRKETİ",tek-harf-prefix,orta,"-"
recoJxXkYqoKYF6dJ,"M ART DESİGN","MART DESİGN",tek-harf-prefix,orta,"-"
recquarbt78i8f5YI,"NOMU PAY ÖDEME V ELEKTRONİK PARA HİZ.","NOMU PAY ÖDEME VELEKTRONİK PARA HİZ.",tek-harf-prefix,orta,"-"
recrXLrxfwpStsi5d,"GROUP M MEDYA HİZ.TİC.LTD ŞTİ. (WPP)","GROUP MMEDYA HİZ.TİC.LTD ŞTİ. (WPP)",tek-harf-prefix,orta,"Telefon - yüksek şüphe"
recredmKI3Ls2mrhR,"SERA MAKİNA VE ENDÜSTRİ YAĞLAR I SANAYİ VE TİCARET","SERA MAKİNA VE ENDÜSTRİ YAĞLAR ISANAYİ VE TİCARET",tek-harf-prefix,orta,"-"
recsKd7OzRWguutdW,"GROUP M MEDYA HİZ.TİC.LTD ŞTİ.","GROUP MMEDYA HİZ.TİC.LTD ŞTİ.",tek-harf-prefix,orta,"-"
recuu4UW4LsCoTTU0,"MUPA TARIM VE GIDA SAN.","",kesik-sonek,orta,"-"
recvSMxvIZqbfrdtD,"YORGLASS CAM SAN.","",kesik-sonek,orta,"-"
recvpZw0VXrGbZfoT,"ARSLAN MAKİNA DÖKÜM SAN","",kesik-sonek,orta,"Telefon - yüksek şüphe"
recyJap4NQlzhcYjH,"ÇAYIROVA BORU SAN.","",kesik-sonek,orta,"Telefon - yüksek şüphe"
recyJmebpIBg8PiIt,"LİDER MATBAA MÜREKKEPLERİ VE K MYASALLA.AMBL.SAN.VE TİC.A.Ş.","LİDER MATBAA MÜREKKEPLERİ VE KMYASALLA.AMBL.SAN.VE TİC.A.Ş.",tek-harf-prefix,orta,"-"
recyvQxEy7IurviOc,"PORTACE LİMAN EKİPMANLARI SANA Yİ TİCARET LİMİTED Ş","PORTACE LİMAN EKİPMANLARI SANAYİ TİCARET LİMİTED Ş",bölünmüş-kelime,yüksek,"-"
recywbdWkgv0Ao7tu,"KORUMA KLOR ALKALİ SANAYİ VE T İCARET ANONİM ŞİRKET","KORUMA KLOR ALKALİ SANAYİ VE TİCARET ANONİM ŞİRKET",tek-harf-prefix,orta,"-"
